Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Miles_Driven ,Fuel_Type,Transmission
ritz,2014,3.35,5.59,27000,16780.60907,Petrol,Manual
sx4,2013,4.75,9.54,43000,26724.67371,Diesel,Manual
ciaz,2017,7.25,9.85,6900,4288.377874,Petrol,Manual
wagon r,2011,2.85,4.15,5200,3231.821007,Petrol,Manual
swift,2014,4.6,6.87,42450,26382.84649,Diesel,Manual
vitara brezza,2018,9.25,9.83,2071,1287.134866,Diesel,Manual
ciaz,2015,6.75,8.12,18796,11681.78993,Petrol,Manual
s cross,2015,6.5,8.61,33429,20776.25855,Diesel,Manual
ciaz,2016,8.75,8.89,20273,12599.7514,Diesel,Manual
ciaz,2015,7.45,8.92,42367,26331.26165,Diesel,Manual
alto 800,2017,2.85,3.6,2135,1326.911125,Petrol,Manual
ciaz,2015,6.85,10.38,51000,31696.70603,Diesel,Manual
ciaz,2015,7.5,9.94,15000,9322.560597,Petrol,Automatic
ertiga,2015,6.1,7.71,26000,16159.10503,Petrol,Manual
dzire,2009,2.25,7.21,77427,48121.19329,Petrol,Manual
ertiga,2016,7.75,10.79,43000,26724.67371,Diesel,Manual
ertiga,2015,7.25,10.79,41678,25903.04537,Diesel,Manual
ertiga,2016,7.75,10.79,43000,26724.67371,Diesel,Manual
wagon r,2015,3.25,5.09,35500,22063.39341,CNG,Manual
sx4,2010,2.65,7.98,41442,25756.37042,Petrol,Manual
alto k10,2016,2.85,3.95,25000,15537.60099,Petrol,Manual
ignis,2017,4.9,5.71,2400,1491.609695,Petrol,Manual
sx4,2011,4.4,8.01,50000,31075.20199,Petrol,Automatic
alto k10,2014,2.5,3.46,45280,28141.70292,Petrol,Manual
wagon r,2013,2.9,4.41,56879,35350.52828,Petrol,Manual
swift,2011,3,4.99,20000,12430.0808,Petrol,Manual
swift,2013,4.15,5.87,55138,34268.48975,Petrol,Manual
swift,2017,6,6.49,16200,10068.36544,Petrol,Manual
alto k10,2010,1.95,3.95,44542,27683.03294,Petrol,Manual
ciaz,2015,7.45,10.38,45000,27967.68179,Diesel,Manual
ritz,2012,3.1,5.98,51439,31969.5463,Diesel,Manual
ritz,2011,2.35,4.89,54200,33685.51896,Petrol,Manual
swift,2014,4.95,7.49,39000,24238.65755,Diesel,Manual
ertiga,2014,6,9.95,45000,27967.68179,Diesel,Manual
dzire,2014,5.5,8.06,45000,27967.68179,Diesel,Manual
sx4,2011,2.95,7.74,49998,31073.95898,CNG,Manual
dzire,2015,4.65,7.2,48767,30308.88751,Petrol,Manual
800,2003,0.35,2.28,127000,78931.01305,Petrol,Manual
alto k10,2016,3,3.76,10079,6264.139217,Petrol,Manual
sx4,2003,2.25,7.98,62000,38533.25047,Petrol,Manual
baleno,2016,5.85,7.87,24524,15241.76507,Petrol,Automatic
alto k10,2014,2.55,3.98,46706,29027.96768,Petrol,Manual
sx4,2008,1.95,7.15,58000,36047.23431,Petrol,Manual
dzire,2014,5.5,8.06,45780,28452.45494,Diesel,Manual
omni,2012,1.25,2.69,50000,31075.20199,Petrol,Manual
ciaz,2014,7.5,12.04,15000,9322.560597,Petrol,Automatic
ritz,2013,2.65,4.89,64532,40106.89869,Petrol,Manual
wagon r,2006,1.05,4.15,65000,40397.76259,Petrol,Manual
ertiga,2015,5.8,7.71,25870,16078.30951,Petrol,Manual
ciaz,2017,7.75,9.29,37000,22995.64947,Petrol,Automatic
fortuner,2012,14.9,30.61,104707,65075.82349,Diesel,Automatic
fortuner,2015,23,30.61,40000,24860.16159,Diesel,Automatic
innova,2017,18,19.77,15000,9322.560597,Diesel,Automatic
fortuner,2013,16,30.61,135000,83903.04537,Diesel,Automatic
innova,2005,2.75,10.21,90000,55935.36358,Petrol,Manual
corolla altis,2009,3.6,15.04,70000,43505.28278,Petrol,Automatic
etios cross,2015,4.5,7.27,40534,25192.04475,Petrol,Manual
corolla altis,2010,4.75,18.54,50000,31075.20199,Petrol,Manual
etios g,2014,4.1,6.8,39485,24540.08701,Petrol,Manual
fortuner,2014,19.99,35.96,41000,25481.66563,Diesel,Automatic
corolla altis,2013,6.95,18.61,40001,24860.7831,Petrol,Manual
etios cross,2015,4.5,7.7,40588,25225.60597,Petrol,Manual
fortuner,2014,18.75,35.96,78000,48477.3151,Diesel,Automatic
fortuner,2015,23.5,35.96,47000,29210.68987,Diesel,Automatic
fortuner,2017,33,36.23,6000,3729.024239,Diesel,Automatic
etios liva,2014,4.75,6.95,45000,27967.68179,Diesel,Manual
innova,2017,19.75,23.15,11000,6836.544438,Petrol,Automatic
fortuner,2010,9.25,20.45,59000,36668.73835,Diesel,Manual
corolla altis,2011,4.35,13.74,88000,54692.3555,Petrol,Manual
corolla altis,2016,14.25,20.91,12000,7458.048477,Petrol,Manual
etios liva,2014,3.95,6.76,71000,44126.78682,Diesel,Manual
corolla altis,2011,4.5,12.48,45000,27967.68179,Diesel,Manual
corolla altis,2013,7.45,18.61,56001,34804.84773,Petrol,Manual
etios liva,2011,2.65,5.71,43000,26724.67371,Petrol,Manual
etios cross,2014,4.9,8.93,83000,51584.8353,Diesel,Manual
etios g,2015,3.95,6.8,36000,22374.14543,Petrol,Manual
corolla altis,2013,5.5,14.68,72000,44748.29086,Petrol,Manual
corolla,2004,1.5,12.35,135154,83998.75699,Petrol,Automatic
corolla altis,2010,5.25,22.83,80000,49720.32318,Petrol,Automatic
fortuner,2012,14.5,30.61,89000,55313.85954,Diesel,Automatic
corolla altis,2016,14.73,14.89,23000,14294.59291,Diesel,Manual
etios gd,2015,4.75,7.85,40000,24860.16159,Diesel,Manual
innova,2017,23,25.39,15000,9322.560597,Diesel,Automatic
innova,2015,12.5,13.46,38000,23617.15351,Diesel,Manual
innova,2005,3.49,13.46,197176,122545.6805,Diesel,Manual
camry,2006,2.5,23.73,142000,88253.57365,Petrol,Automatic
land cruiser,2010,35,92.6,78000,48477.3151,Diesel,Manual
corolla altis,2012,5.9,13.74,56000,34804.22623,Petrol,Manual
etios liva,2013,3.45,6.05,47000,29210.68987,Petrol,Manual
etios g,2014,4.75,6.76,40000,24860.16159,Petrol,Manual
corolla altis,2009,3.8,18.61,62000,38533.25047,Petrol,Manual
innova,2014,11.25,16.09,58242,36197.63828,Diesel,Manual
innova,2005,3.51,13.7,75000,46612.80298,Petrol,Manual
fortuner,2015,23,30.61,40000,24860.16159,Diesel,Automatic
corolla altis,2008,4,22.78,89000,55313.85954,Petrol,Automatic
corolla altis,2012,5.85,18.61,72000,44748.29086,Petrol,Manual
innova,2016,20.75,25.39,29000,18023.61715,Diesel,Automatic
corolla altis,2017,17,18.64,8700,5407.085146,Petrol,Manual
corolla altis,2013,7.05,18.61,45000,27967.68179,Petrol,Manual
fortuner,2010,9.65,20.45,50024,31090.11809,Diesel,Manual
Royal Enfield Thunder 500,2016,1.75,1.9,3000,1864.512119,Petrol,Manual
UM Renegade Mojave,2017,1.7,1.82,1400,870.1056557,Petrol,Manual
KTM RC200,2017,1.65,1.78,4000,2486.016159,Petrol,Manual
Bajaj Dominar 400,2017,1.45,1.6,1200,745.8048477,Petrol,Manual
Royal Enfield Classic 350,2017,1.35,1.47,4100,2548.166563,Petrol,Manual
KTM RC390,2015,1.35,2.37,21700,13486.63766,Petrol,Manual
Hyosung GT250R,2014,1.35,3.45,16500,10254.81666,Petrol,Manual
Royal Enfield Thunder 350,2013,1.25,1.5,15000,9322.560597,Petrol,Manual
Royal Enfield Thunder 350,2016,1.2,1.5,18000,11187.07272,Petrol,Manual
Royal Enfield Classic 350,2017,1.2,1.47,11000,6836.544438,Petrol,Manual
KTM RC200,2016,1.2,1.78,6000,3729.024239,Petrol,Manual
Royal Enfield Thunder 350,2016,1.15,1.5,8700,5407.085146,Petrol,Manual
KTM 390 Duke ,2014,1.15,2.4,7000,4350.528278,Petrol,Manual
Mahindra Mojo XT300,2016,1.15,1.4,35000,21752.64139,Petrol,Manual
Royal Enfield Classic 350,2015,1.15,1.47,17000,10565.56868,Petrol,Manual
Royal Enfield Classic 350,2015,1.11,1.47,17500,10876.3207,Petrol,Manual
Royal Enfield Classic 350,2013,1.1,1.47,33000,20509.63331,Petrol,Manual
Royal Enfield Thunder 500,2015,1.1,1.9,14000,8701.056557,Petrol,Manual
Royal Enfield Classic 350,2015,1.1,1.47,26000,16159.10503,Petrol,Manual
Royal Enfield Thunder 500,2013,1.05,1.9,5400,3356.121815,Petrol,Manual
Bajaj Pulsar RS200,2016,1.05,1.26,5700,3542.573027,Petrol,Manual
Royal Enfield Thunder 350,2011,1.05,1.5,6900,4288.377874,Petrol,Manual
Royal Enfield Bullet 350,2016,1.05,1.17,6000,3729.024239,Petrol,Manual
Royal Enfield Classic 350,2013,1,1.47,46500,28899.93785,Petrol,Manual
Royal Enfield Classic 500,2012,0.95,1.75,11500,7147.296457,Petrol,Manual
Royal Enfield Classic 500,2009,0.9,1.75,40000,24860.16159,Petrol,Manual
Bajaj Avenger 220,2017,0.9,0.95,1300,807.9552517,Petrol,Manual
Bajaj Avenger 150,2016,0.75,0.8,7000,4350.528278,Petrol,Manual
Honda CB Hornet 160R,2017,0.8,0.87,3000,1864.512119,Petrol,Manual
Yamaha FZ S V 2.0,2017,0.78,0.84,5000,3107.520199,Petrol,Manual
Honda CB Hornet 160R,2017,0.75,0.87,11000,6836.544438,Petrol,Manual
Yamaha FZ 16,2015,0.75,0.82,18000,11187.07272,Petrol,Manual
Bajaj Avenger 220,2017,0.75,0.95,3500,2175.264139,Petrol,Manual
Bajaj Avenger 220,2016,0.72,0.95,500,310.7520199,Petrol,Manual
TVS Apache RTR 160,2017,0.65,0.81,11800,7333.747669,Petrol,Manual
Bajaj Pulsar 150,2015,0.65,0.74,5000,3107.520199,Petrol,Manual
Honda CBR 150,2014,0.65,1.2,23500,14605.34493,Petrol,Manual
Hero Extreme,2013,0.65,0.787,16000,9944.064636,Petrol,Manual
Honda CB Hornet 160R,2016,0.6,0.87,15000,9322.560597,Petrol,Manual
Bajaj Avenger 220 dtsi,2015,0.6,0.95,16600,10316.96706,Petrol,Manual
Honda CBR 150,2013,0.6,1.2,32000,19888.12927,Petrol,Manual
Bajaj Avenger 150 street,2016,0.6,0.8,20000,12430.0808,Petrol,Manual
Yamaha FZ  v 2.0,2015,0.6,0.84,29000,18023.61715,Petrol,Manual
Yamaha FZ  v 2.0,2016,0.6,0.84,25000,15537.60099,Petrol,Manual
Bajaj Pulsar  NS 200,2014,0.6,0.99,25000,15537.60099,Petrol,Manual
TVS Apache RTR 160,2012,0.6,0.81,19000,11808.57676,Petrol,Manual
Hero Extreme,2014,0.55,0.787,15000,9322.560597,Petrol,Manual
Yamaha FZ S V 2.0,2015,0.55,0.84,58000,36047.23431,Petrol,Manual
Bajaj Pulsar 220 F,2010,0.52,0.94,45000,27967.68179,Petrol,Manual
Bajaj Pulsar 220 F,2016,0.51,0.94,24000,14916.09695,Petrol,Manual
TVS Apache RTR 180,2011,0.5,0.826,6000,3729.024239,Petrol,Manual
Hero Passion X pro,2016,0.5,0.55,31000,19266.62523,Petrol,Manual
Bajaj Pulsar NS 200,2012,0.5,0.99,13000,8079.552517,Petrol,Manual
Bajaj Pulsar NS 200,2013,0.5,0.99,45000,27967.68179,Petrol,Manual
Yamaha Fazer ,2014,0.5,0.88,8000,4972.032318,Petrol,Manual
Honda Activa 4G,2017,0.48,0.51,4300,2672.467371,Petrol,Automatic
TVS Sport ,2017,0.48,0.52,15000,9322.560597,Petrol,Manual
Yamaha FZ S V 2.0,2015,0.48,0.84,23000,14294.59291,Petrol,Manual
Honda Dream Yuga ,2017,0.48,0.54,8600,5344.934742,Petrol,Manual
Honda Activa 4G,2017,0.45,0.51,4000,2486.016159,Petrol,Automatic
Bajaj Avenger Street 220,2011,0.45,0.95,24000,14916.09695,Petrol,Manual
TVS Apache RTR 180,2014,0.45,0.826,23000,14294.59291,Petrol,Manual
Bajaj Pulsar NS 200,2012,0.45,0.99,14500,9011.808577,Petrol,Manual
Bajaj Avenger 220 dtsi,2010,0.45,0.95,27000,16780.60907,Petrol,Manual
Hero Splender iSmart,2016,0.45,0.54,14000,8701.056557,Petrol,Manual
Activa 3g,2016,0.45,0.54,500,310.7520199,Petrol,Automatic
Hero Passion Pro,2016,0.45,0.55,1000,621.5040398,Petrol,Manual
TVS Apache RTR 160,2014,0.42,0.81,42000,26103.16967,Petrol,Manual
Honda CB Trigger,2013,0.42,0.73,12000,7458.048477,Petrol,Manual
Hero Splender iSmart,2015,0.4,0.54,14000,8701.056557,Petrol,Manual
Yamaha FZ S ,2012,0.4,0.83,5500,3418.272219,Petrol,Manual
Hero Passion Pro,2015,0.4,0.55,6700,4164.077067,Petrol,Manual
Bajaj Pulsar 135 LS,2014,0.4,0.64,13700,8514.605345,Petrol,Manual
Activa 4g,2017,0.4,0.51,1300,807.9552517,Petrol,Automatic
Honda CB Unicorn,2015,0.38,0.72,38600,23990.05594,Petrol,Manual
Hero Honda CBZ extreme,2011,0.38,0.787,75000,46612.80298,Petrol,Manual
Honda Karizma,2011,0.35,1.05,30000,18645.12119,Petrol,Manual
Honda Activa 125,2016,0.35,0.57,24000,14916.09695,Petrol,Automatic
TVS Jupyter,2014,0.35,0.52,19000,11808.57676,Petrol,Automatic
Honda Karizma,2010,0.31,1.05,213000,132380.3605,Petrol,Manual
Hero Honda Passion Pro,2012,0.3,0.51,60000,37290.24239,Petrol,Manual
Hero Splender Plus,2016,0.3,0.48,50000,31075.20199,Petrol,Manual
Honda CB Shine,2013,0.3,0.58,30000,18645.12119,Petrol,Manual
Bajaj Discover 100,2013,0.27,0.47,21000,13051.58484,Petrol,Manual
Bajaj Pulsar 150,2008,0.25,0.75,26000,16159.10503,Petrol,Manual
Suzuki Access 125,2008,0.25,0.58,1900,1180.857676,Petrol,Automatic
TVS Wego,2010,0.25,0.52,22000,13673.08888,Petrol,Automatic
Honda CB twister,2013,0.25,0.51,32000,19888.12927,Petrol,Manual
Hero Glamour,2013,0.25,0.57,18000,11187.07272,Petrol,Manual
Hero Super Splendor,2005,0.2,0.57,55000,34182.72219,Petrol,Manual
Bajaj Pulsar 150,2008,0.2,0.75,60000,37290.24239,Petrol,Manual
Bajaj Discover 125,2012,0.2,0.57,25000,15537.60099,Petrol,Manual
Hero Hunk,2007,0.2,0.75,49000,30453.69795,Petrol,Manual
Hero  Ignitor Disc,2013,0.2,0.65,24000,14916.09695,Petrol,Manual
Hero  CBZ Xtreme,2008,0.2,0.787,50000,31075.20199,Petrol,Manual
Bajaj  ct 100,2015,0.18,0.32,35000,21752.64139,Petrol,Manual
Activa 3g,2008,0.17,0.52,500000,310752.0199,Petrol,Automatic
Honda CB twister,2010,0.16,0.51,33000,20509.63331,Petrol,Manual
Bajaj Discover 125,2011,0.15,0.57,35000,21752.64139,Petrol,Manual
Honda CB Shine,2007,0.12,0.58,53000,32939.71411,Petrol,Manual
Bajaj Pulsar 150,2006,0.1,0.75,92233,57323.1821,Petrol,Manual
i20,2010,3.25,6.79,58000,36047.23431,Diesel,Manual
grand i10,2015,4.4,5.7,28200,17526.41392,Petrol,Manual
i10,2011,2.95,4.6,53460,33225.60597,Petrol,Manual
eon,2015,2.75,4.43,28282,17577.37725,Petrol,Manual
grand i10,2016,5.25,5.7,3493,2170.913611,Petrol,Manual
xcent,2017,5.75,7.13,12479,7755.748912,Petrol,Manual
grand i10,2015,5.15,5.7,34797,21626.47607,Petrol,Automatic
i20,2017,7.9,8.1,3435,2134.866377,Petrol,Manual
grand i10,2015,4.85,5.7,21125,13129.27284,Diesel,Manual
i10,2012,3.1,4.6,35775,22234.30702,Petrol,Manual
elantra,2015,11.75,14.79,43535,27057.17837,Diesel,Manual
creta,2016,11.25,13.6,22671,14090.11809,Petrol,Manual
i20,2011,2.9,6.79,31604,19642.01367,Petrol,Manual
grand i10,2017,5.25,5.7,20114,12500.93226,Petrol,Manual
verna,2012,4.5,9.4,36100,22436.29584,Petrol,Manual
eon,2016,2.9,4.43,12500,7768.800497,Petrol,Manual
eon,2016,3.15,4.43,15000,9322.560597,Petrol,Manual
verna,2014,6.45,9.4,45078,28016.15911,Petrol,Manual
verna,2012,4.5,9.4,36000,22374.14543,Petrol,Manual
eon,2017,3.5,4.43,38488,23920.44748,Petrol,Manual
i20,2013,4.5,6.79,32000,19888.12927,Petrol,Automatic
i20,2014,6,7.6,77632,48248.60162,Diesel,Manual
verna,2015,8.25,9.4,61381,38148.53947,Diesel,Manual
verna,2013,5.11,9.4,36198,22497.20323,Petrol,Automatic
i10,2011,2.7,4.6,22517,13994.40646,Petrol,Manual
grand i10,2015,5.25,5.7,24678,15337.47669,Petrol,Manual
i10,2011,2.55,4.43,57000,35425.73027,Petrol,Manual
verna,2012,4.95,9.4,60000,37290.24239,Diesel,Manual
i20,2012,3.1,6.79,52132,32400.2486,Diesel,Manual
verna,2013,6.15,9.4,45000,27967.68179,Diesel,Manual
verna,2017,9.25,9.4,15001,9323.182101,Petrol,Manual
elantra,2015,11.45,14.79,12900,8017.402113,Petrol,Automatic
grand i10,2013,3.9,5.7,53000,32939.71411,Diesel,Manual
grand i10,2015,5.5,5.7,4492,2791.796147,Petrol,Manual
verna,2017,9.1,9.4,15141,9410.192666,Petrol,Manual
eon,2016,3.1,4.43,11849,7364.201367,Petrol,Manual
creta,2015,11.25,13.6,68000,42262.2747,Diesel,Manual
verna,2013,4.8,9.4,60241,37440.02486,Petrol,Manual
eon,2012,2,4.43,23709,14735.23928,Petrol,Manual
verna,2012,5.35,9.4,32322,20088.25357,Diesel,Manual
xcent,2015,4.75,7.13,35866,22290.86389,Petrol,Manual
xcent,2014,4.4,7.13,34000,21131.13735,Petrol,Manual
i20,2016,6.25,7.6,7000,4350.528278,Petrol,Manual
verna,2013,5.95,9.4,49000,30453.69795,Diesel,Manual
verna,2012,5.2,9.4,71000,44126.78682,Diesel,Manual
i20,2012,3.75,6.79,35000,21752.64139,Petrol,Manual
verna,2015,5.95,9.4,36000,22374.14543,Petrol,Manual
i10,2013,4,4.6,30000,18645.12119,Petrol,Manual
i20,2016,5.25,7.6,17000,10565.56868,Petrol,Manual
creta,2016,12.9,13.6,35934,22333.12617,Diesel,Manual
city,2013,5,9.9,56701,35239.90056,Petrol,Manual
brio,2015,5.4,6.82,31427,19532.00746,Petrol,Automatic
city,2014,7.2,9.9,48000,29832.19391,Diesel,Manual
city,2013,5.25,9.9,54242,33711.62213,Petrol,Manual
brio,2012,3,5.35,53675,33359.22933,Petrol,Manual
city,2016,10.25,13.6,49562,30802.98322,Petrol,Manual
city,2015,8.5,13.6,40324,25061.5289,Petrol,Manual
city,2015,8.4,13.6,25000,15537.60099,Petrol,Manual
amaze,2014,3.9,7,36054,22407.70665,Petrol,Manual
city,2016,9.15,13.6,29223,18162.21255,Petrol,Manual
brio,2016,5.5,5.97,5600,3480.422623,Petrol,Manual
amaze,2015,4,5.8,40023,24874.45618,Petrol,Manual
jazz,2016,6.6,7.7,16002,9945.307644,Petrol,Manual
amaze,2015,4,7,40026,24876.3207,Petrol,Manual
jazz,2017,6.5,8.7,21200,13175.88564,Petrol,Manual
amaze,2014,3.65,7,35000,21752.64139,Petrol,Manual
city,2016,8.35,9.4,19434,12078.30951,Diesel,Manual
brio,2017,4.8,5.8,19000,11808.57676,Petrol,Manual
city,2015,6.7,10,18828,11701.67806,Petrol,Manual
city,2011,4.1,10,69341,43095.71162,Petrol,Manual
city,2009,3,10,69562,43233.06401,Petrol,Manual
city,2015,7.5,10,27600,17153.5115,Petrol,Manual
jazz,2010,2.25,7.5,61203,38037.91175,Petrol,Manual
brio,2014,5.3,6.8,16500,10254.81666,Petrol,Manual
city,2016,10.9,13.6,30753,19113.11374,Petrol,Automatic
city,2015,8.65,13.6,24800,15413.30019,Petrol,Manual
city,2015,9.7,13.6,21780,13536.35799,Petrol,Manual
jazz,2016,6,8.4,4000,2486.016159,Petrol,Manual
city,2014,6.25,13.6,40126,24938.4711,Petrol,Manual
brio,2015,5.25,5.9,14465,8990.055935,Petrol,Manual
city,2006,2.1,7.6,50456,31358.60783,Petrol,Manual
city,2014,8.25,14,63000,39154.75451,Diesel,Manual
city,2016,8.99,11.8,9010,5599.751398,Petrol,Manual
brio,2013,3.5,5.9,9800,6090.73959,Petrol,Manual
jazz,2016,7.4,8.5,15059,9359.229335,Petrol,Automatic
jazz,2016,5.65,7.9,28569,17755.74891,Petrol,Manual
amaze,2015,5.75,7.5,44000,27346.17775,Petrol,Automatic
city,2015,8.4,13.6,34000,21131.13735,Petrol,Manual
city,2016,10.11,13.6,10980,6824.114357,Petrol,Manual
amaze,2014,4.5,6.4,19000,11808.57676,Petrol,Manual
brio,2015,5.4,6.1,31427,19532.00746,Petrol,Manual
jazz,2016,6.4,8.4,12000,7458.048477,Petrol,Manual
city,2010,3.25,9.9,38000,23617.15351,Petrol,Manual
amaze,2014,3.75,6.8,33019,20521.44189,Petrol,Manual
city,2015,8.55,13.09,60076,37337.47669,Diesel,Manual
city,2016,9.5,11.6,33988,21123.6793,Diesel,Manual
brio,2015,4,5.9,60000,37290.24239,Petrol,Manual
city,2009,3.35,11,87934,54651.33623,Petrol,Manual
city,2017,11.5,12.5,9000,5593.536358,Diesel,Manual
brio,2016,5.3,5.9,5464,3395.898073,Petrol,Manual